WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum_&_Vola;Kursperform 6 M;Kursperform_1_J;Delta_52_Wochen_Hoch;Vola_1_J;Bewertung;KUV;Free_Cash_Flow;PEG_Ratio;KGV_(2023);KGV_(2024);Kursziel;Wachstum;Umsatzwachstum_ueber_5_J;EPS-Wachstum_ueber_5_J;Umsatzwachstum_(2023);Umsatzwachstum_(2024);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2023);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2024);Qualitaet_und_Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet_dritten_Grades;Liquiditaet_zweiten_Grades;Verhaeltnis_aus_Schulden_zum_EK;Verhaeltnis_aus_Schulden_und_Vermoegenswerten;Zinsdeckungsgrad;Dividende_&_Aktienrueckkaeufe;Gesamtrendite;Payout_Ratio;Dividende_(2023);Dividende_(2024
856200;Solvay S.A.;BE0003470755;Chemikalien;Grundstoffe;66;72;-8,82;6,65;-14,19;0,233;78;0,71;10,31;1,37;8,11;8,51;;8;12,03;58,15;-21,23;1,89;-26,91;-4,70;57;12,31;10,18;51,32;1,44;0,79;27,89;14,31;1.922,88;69;3,86;22,13;3,80;3,90
;Univar Solutions Inc.;;Chemikalien;Grundstoffe;54;97;access denied;access denied;access denied;access denied;53;-;-;-;12,64;10,63;instrument n/a;36;27,37;134,43;-4,19;1,18;-13,07;18,88;40;17,53;6,54;34,90;-;-;-;-;-;42;-;-;0,90;2,00
BAY001;Bayer AG;DE000BAY0017;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;65;25;-30,58;-22,01;-36,71;0,247;91;0,91;18,14;1,57;6,43;5,46;53,74;61;31,40;258,33;-4,84;2,80;52,84;17,76;23;3,86;8,69;31,05;1,08;0,61;106,57;33,09;351,48;84;5,28;56,87;5,50;5,70
858560;Eli Lilly and Company;US5324571083;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;56;100;52,91;72,02;-6,95;0,267;9;18,59;125,06;1,73;60,29;46,61;1,33;94;55,01;210,84;16,73;16,76;40,84;28,75;47;66,27;25,98;21,52;1,05;0,63;152,48;32,81;2.152,59;32;0,96;56,81;0,80;0,90
853260;Johnson & Johnson;US4781601046;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;39;67;-6,45;-9,24;-15,42;0,162;41;4,57;22,92;5,05;15,19;14,13;15,86;31;3,87;76,98;-10,75;3,64;47,70;7,49;36;17,23;17,22;40,99;0,99;0,77;51,64;21,17;7.971,38;61;3,82;66,12;3,00;3,10
A0YD8Q;Merck & Co. Inc.;US58933Y1055;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;61;70;-11,38;7,40;-14,12;0,192;65;4,45;19,29;0,85;34,06;12,23;20,61;49;40,18;29,41;0,01;5,52;-47,15;178,51;39;7,59;10,99;42,13;1,47;0,93;66,73;28,12;1.809,36;58;3,03;48,34;2,90;3,20
A1J84E;AbbVie Inc.;US00287Y1091;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;32;70;-10,53;-0,18;-12,68;0,199;51;4,73;13,03;5,92;13,31;13,26;14,66;47;63,48;201,62;-7,76;-0,91;66,46;0,32;15;62,76;22,64;12,43;0,96;0,69;366,70;45,58;704,35;55;4,67;86,12;3,90;4,20
519000;BMW AG;DE0005190003;Automobilhersteller;Zyklische Konsumgüter;91;75;-7,58;18,09;-17,53;0,223;93;0,37;7,56;0,26;5,13;5,63;17,19;27;54,57;72,21;4,98;1,54;-33,16;-7,91;51;11,28;11,32;35,28;1,09;0,73;82,14;28,98;10.321,30;90;8,82;31,12;6,20;5,90
A1CX3T;Tesla Inc.;US88160R1014;Automobilhersteller;Zyklische Konsumgüter;35;46;31,38;-0,41;-28,65;0,596;3;8,98;92,13;2,15;68,45;51,84;15,51;95;361,93;762,59;21,69;26,29;-18,46;37,16;81;27,96;14,36;54,29;1,53;0,94;12,86;6,98;7.282,72;0;0,00;-;0,00;0,00
853510;Toyota Motor Corp.;JP3633400001;Automobilhersteller;Zyklische Konsumgüter;73;98;31,98;16,94;-11,04;0,209;31;0,92;neg.;2,91;10,45;9,68;14,95;86;40,14;105,15;18,40;14,00;-12,55;48,73;45;10,49;11,27;38,14;1,10;0,89;103,68;39,54;7.847,13;60;3,37;33,43;2,95;2,90
710000;Mercedes-Benz AG;DE0007100000;Automobilhersteller;Zyklische Konsumgüter;81;63;-11,93;5,95;-18,50;0,212;82;0,45;11,95;63,50;4,73;4,86;44,07;17;-8,06;92,58;2,57;2,19;-3,64;-2,68;51;18,69;14,05;32,85;1,16;0,74;98,83;32,47;4.855,04;94;7,89;38,38;8,50;8,50
A2QL01;Stellantis N.V.;NL00150001Q9;Automobilhersteller;Zyklische Konsumgüter;99;97;18,40;29,93;-7,84;0,267;97;0,31;7,09;0,30;3,05;3,30;31,15;47;72,38;148,35;5,98;1,43;8,16;-7,59;67;27,85;12,79;38,68;1,27;0,93;37,71;14,59;1.723,97;96;10,53;25,24;8,90;8,60
519000;BMW AG;DE0005190003;Automobilhersteller;Zyklische Konsumgüter;91;75;-7,56;18,11;-17,52;0,223;93;0,37;7,56;0,26;5,13;5,63;17,17;27;54,57;72,21;4,98;1,54;-33,16;-7,91;51;11,28;11,32;35,28;1,09;0,73;82,14;28,98;10.321,30;90;8,82;31,12;6,20;5,90
A1CX3T;Tesla Inc.;US88160R1014;Automobilhersteller;Zyklische Konsumgüter;35;46;31,38;-0,41;-28,65;0,596;3;8,98;92,13;2,15;68,45;51,84;15,51;95;361,93;762,59;21,69;26,29;-18,46;37,16;81;27,96;14,36;54,29;1,53;0,94;12,86;6,98;7.282,72;0;0,00;-;0,00;0,00
853510;Toyota Motor Corp.;JP3633400001;Automobilhersteller;Zyklische Konsumgüter;73;98;31,98;16,94;-11,04;0,209;31;0,92;neg.;2,91;10,45;9,68;14,95;86;40,14;105,15;18,40;14,00;-12,55;48,73;45;10,49;11,27;38,14;1,10;0,89;103,68;39,54;7.847,13;60;3,37;33,43;2,95;2,90
710000;Mercedes-Benz AG;DE0007100000;Automobilhersteller;Zyklische Konsumgüter;81;63;-11,93;5,95;-18,50;0,212;82;0,45;11,95;63,50;4,73;4,86;44,07;17;-8,06;92,58;2,57;2,19;-3,64;-2,68;51;18,69;14,05;32,85;1,16;0,74;98,83;32,47;4.855,04;94;7,89;38,38;8,50;8,50
A2QL01;Stellantis N.V.;NL00150001Q9;Automobilhersteller;Zyklische Konsumgüter;99;97;18,40;29,93;-7,84;0,267;97;0,31;7,09;0,30;3,05;3,30;31,15;47;72,38;148,35;5,98;1,43;8,16;-7,59;67;27,85;12,79;38,68;1,27;0,93;37,71;14,59;1.723,97;96;10,53;25,24;8,90;8,60
606214;Covestro AG;DE0006062144;Spezialchemikalien;Grundstoffe;27;90;30,29;39,51;-12,95;0,350;35;0,57;89,30;0,31;neg.;22,36;15,20;13;2,11;-102,32;-16,94;5,21;-115,44;903,48;38;-11,34;-2,26;48,58;2,18;1,14;51,59;25,07;178,31;33;0,42;40,62;0,10;2,10
A3D7VW;Linde PLC;IE000S9YS762;Spezialchemikalien;Grundstoffe;32;95;0,13;27,81;-6,40;0,209;8;5,58;33,94;3,01;26,36;24,21;14,68;61;123,60;4,95;-0,57;5,33;67,66;8,92;36;14,30;22,96;50,25;0,79;0,63;46,94;23,59;2.678,14;43;3,31;56,87;1,40;1,50
850133;Air Liquide-SA Ét.Expl.P.G.Cl.;FR0000120073;Spezialchemikalien;Grundstoffe;24;89;-6,45;15,41;-9,64;0,167;10;2,82;30,54;2,31;23,52;21,63;17,86;45;34,30;58,99;-5,73;5,02;22,91;8,73;27;13,74;15,86;47,93;0,93;0,54;56,35;27,01;1.166,38;45;1,90;55,98;2,10;2,20
854912;Air Products & Chemicals Inc.;US0091581068;Spezialchemikalien;Grundstoffe;56;76;-4,64;15,92;-14,87;0,239;13;4,99;230,48;1,69;24,42;21,79;18,88;59;42,72;68,01;0,36;6,76;12,94;12,05;76;15,77;22,45;48,34;1,81;1,51;63,35;30,62;2.252,11;52;2,42;41,33;2,40;2,60
856050;Sherwin-Williams Co.;US8243481061;Spezialchemikalien;Grundstoffe;13;78;1,32;15,34;-15,54;0,273;10;2,75;56,68;2,42;24,36;22,07;24,27;54;30,13;147,69;3,02;3,19;25,69;10,42;11;80,01;14,94;13,73;0,99;0,46;403,21;55,36;758,42;37;2,04;31,15;0,90;1,00
710000;Mercedes-Benz AG;DE0007100000;Automobilhersteller;Zyklische Konsumgüter;81;63;-11,93;5,95;-18,50;0,212;82;0,45;11,95;63,50;4,73;4,86;44,07;17;-8,06;92,58;2,57;2,19;-3,64;-2,68;51;18,69;14,05;32,85;1,16;0,74;98,83;32,47;4.855,04;94;7,89;38,38;8,50;8,50
A1CX3T;Tesla Inc.;US88160R1014;Automobilhersteller;Zyklische Konsumgüter;35;46;31,47;-0,34;-28,59;0,595;3;8,98;92,13;2,15;68,45;51,84;15,43;95;361,93;762,59;21,69;26,29;-18,46;37,16;81;27,96;14,36;54,29;1,53;0,94;12,86;6,98;7.282,72;0;0,00;-;0,00;0,00
853510;Toyota Motor Corp.;JP3633400001;Automobilhersteller;Zyklische Konsumgüter;73;98;31,98;16,94;-11,04;0,209;31;0,92;neg.;2,91;10,45;9,68;14,95;86;40,14;105,15;18,40;14,00;-12,55;48,73;45;10,49;11,27;38,14;1,10;0,89;103,68;39,54;7.847,13;60;3,37;33,43;2,95;2,90
519000;BMW AG;DE0005190003;Automobilhersteller;Zyklische Konsumgüter;91;75;-7,57;18,10;-17,52;0,223;93;0,37;7,56;0,26;5,13;5,63;17,18;27;54,57;72,21;4,98;1,54;-33,16;-7,91;51;11,28;11,32;35,28;1,09;0,73;82,14;28,98;10.321,30;90;8,82;31,12;6,20;5,90
A2QL01;Stellantis N.V.;NL00150001Q9;Automobilhersteller;Zyklische Konsumgüter;99;97;18,39;29,92;-7,85;0,267;97;0,31;7,09;0,30;3,05;3,30;31,17;47;72,38;148,35;5,98;1,43;8,16;-7,59;67;27,85;12,79;38,68;1,27;0,93;37,71;14,59;1.723,97;96;10,53;25,24;8,90;8,60
A2E4K4;Delivery Hero SE;DE000A2E4K43;Internet-Einzelhandel;Zyklische Konsumgüter;3;7;-31,95;-26,48;-57,77;0,511;26;0,86;neg.;-;neg.;neg.;124,50;41;1.417,84;-1.547,52;17,70;15,24;-127,12;-135,59;20;-61,60;-20,47;29,07;1,47;1,25;153,04;44,48;-1.162,88;2;-;-;0,00;0,00
906866;Amazon.com Inc.;US0231351067;Internet-Einzelhandel;Zyklische Konsumgüter;10;70;18,70;5,66;-13,56;0,373;8;2,45;neg.;2,54;57,31;39,76;37,05;95;144,78;113,33;10,91;12,04;716,97;44,21;6;8,71;3,09;31,56;0,94;0,72;95,94;30,28;-150,78;0;0,00;-;0,00;0,00
A0MYNP;Mercadolibre Inc.;US58733R1023;Internet-Einzelhandel;Zyklische Konsumgüter;33;55;-8,74;37,57;-19,93;0,436;24;5,16;25,37;1,00;57,63;40,59;39,43;99;866,25;2.360,75;32,02;23,12;110,85;41,98;29;39,51;13,80;13,30;1,28;0,93;296,33;39,41;342,99;7;0,44;193,55;0,00;0,10
A2QEGF;Allegro.eu Registered Shares ZY -,01;LU2237380790;Internet-Einzelhandel;Zyklische Konsumgüter;21;44;-14,55;27,33;-27,74;0,403;11;3,38;27,28;-;32,61;20,62;40,85;91;442,34;122,36;19,13;13,79;-53,29;58,13;32;-17,37;-8,36;46,70;1,37;1,07;79,54;37,14;-197,34;4;0,00;-;0,00;0,20
A2QQZ2;Coupang;US22266T1097;Internet-Einzelhandel;Zyklische Konsumgüter;19;66;11,76;10,51;-13,25;0,449;10;1,40;neg.;-;60,72;35,98;24,10;93;489,41;-57,58;16,08;13,82;482,04;68,76;24;17,71;2,36;25,38;1,15;0,73;99,50;25,25;-242,69;0;0,00;-;0,00;0,00
514000;Deutsche Bank AG;DE0005140008;Banken - Regional;Finanzdienstleistungen;78;53;-3,03;-1,15;-23,49;0,293;87;0,79;neg.;0,10;4,78;4,35;40,35;47;16,83;19.833,36;8,13;1,70;-17,63;9,77;17;7,04;-;5,28;-;-;207,52;10,95;-;83;4,78;12,66;4,70;7,00
887771;BNP Paribas S.A.;FR0000131104;Banken - Regional;Finanzdienstleistungen;81;72;-5,53;17,18;-16,97;0,263;87;1,23;7,74;1,11;6,59;5,82;40,98;27;-9,65;47,29;-21,46;5,79;8,20;13,27;18;9,97;-;4,57;-;-;244,39;11,16;-;92;6,45;50,00;8,10;8,70
917523;U.S. Bancorp;US9029733048;Banken - Regional;Finanzdienstleistungen;48;27;-5,02;-23,12;-37,64;0,381;63;1,96;4,31;2,30;8,46;7,65;31,06;33;25,57;-8,28;16,93;-0,45;3,15;9,32;31;12,37;-;7,52;-;-;136,68;10,28;-;86;5,90;50,95;6,10;6,20
850605;Intesa Sanpaolo S.p.A.;IT0000072618;Banken - Regional;Finanzdienstleistungen;95;69;-4,87;22,02;-11,25;0,255;95;1,88;2,15;0,70;5,92;5,64;46,43;54;36,13;65,01;11,04;0,91;72,19;4,79;25;9,86;-;6,32;-;-;155,93;9,85;-;88;15,12;71,26;12,00;12,50
867679;PNC Financial Services Group Inc;US6934751057;Banken - Regional;Finanzdienstleistungen;33;30;-9,12;-27,77;-33,67;0,309;49;2,13;11,53;5,61;8,46;9,09;22,29;16;33,07;24,67;2,04;-0,16;-2,94;-6,97;32;12,16;-;8,21;-;-;127,83;10,50;-;89;9,37;43,32;5,40;5,50
581005;Deutsche Börse AG;DE0005810055;Finanzdaten & Börsen;Finanzdienstleistungen;48;69;-7,01;-3,95;-15,22;0,191;21;5,28;15,52;2,52;16,49;15,68;21,59;57;59,63;114,59;-5,18;6,30;17,58;5,17;61;20,30;42,58;3,15;1,01;0,63;63,24;1,99;2.432,78;50;2,20;44,34;2,50;2,70
A2AHZ7;S&P Global Inc.;US78409V1044;Finanzdaten & Börsen;Finanzdienstleistungen;35;80;1,59;19,35;-17,60;0,250;9;9,70;49,64;2,09;28,34;24,57;25,30;82;98,16;60,09;10,91;7,21;21,82;15,32;36;6,26;30,33;58,90;0,94;0,63;31,69;18,67;1.646,71;46;5,27;33,82;1,00;1,10
A0MW32;CME Group Inc.;US12572Q1058;Finanzdaten & Börsen;Finanzdienstleistungen;47;99;13,99;25,55;-3,76;0,182;6;14,81;27,17;4,77;23,54;23,00;3,21;49;27,09;58,44;9,11;4,10;22,52;2,36;74;10,54;77,16;15,43;1,01;0,02;12,79;1,97;2.245,24;37;3,90;114,86;4,20;4,30
A1W5H0;Intercontinental Exchange Inc. Registered Shares DL -,01;US45866F1049;Finanzdaten & Börsen;Finanzdienstleistungen;47;92;0,88;17,01;-8,34;0,199;38;6,42;26,34;0,99;19,48;18,55;22,56;57;28,14;61,82;-16,54;12,46;116,17;5,02;42;7,24;27,54;11,68;1,05;0,02;80,93;9,46;393,51;40;1,57;58,91;1,50;1,70
915246;Moody's Corp.;US6153691059;Finanzdaten & Börsen;Finanzdienstleistungen;48;82;2,62;28,32;-14,49;0,271;12;10,70;54,52;1,92;31,06;27,41;16,38;74;33,54;46,35;8,51;10,38;34,01;13,31;65;52,48;36,14;17,56;1,72;1,48;312,15;54,80;815,45;34;1,33;38,58;0,90;1,00
555200;Deutsche Post AG;DE0005552004;Integrierte Fracht & Logistik;Industrie;43;59;-12,88;3,71;-20,57;0,230;65;0,59;8,85;649,77;11,64;10,62;32,84;27;38,08;90,15;-10,01;2,67;-27,13;9,58;23;20,28;8,22;34,03;0,99;0,66;87,04;29,62;1.359,71;85;7,26;42,73;5,00;5,10
929198;United Parcel Service Inc.;US9113121068;Integrierte Fracht & Logistik;Industrie;52;43;-22,06;-7,80;-22,84;0,242;31;1,39;16,13;2,49;16,54;14,88;18,42;31;29,23;67,17;-7,45;5,41;-30,28;11,14;72;55,16;14,26;;;;;;;79;6,73;;4,20;4,10
912029;Fedex Corp.;US31428X1063;Integrierte Fracht & Logistik;Industrie;61;93;3,47;56,77;-11,34;0,263;46;0,70;36,31;1,01;18,76;13,32;21,87;45;28,29;779,19;-3,59;-0,82;8,03;16,10;49;16,14;7,24;;;;;;;55;4,36;;2,31;2,00
A0MRDY;DSV Panalpina A/S;DK0060079531;Integrierte Fracht & Logistik;Industrie;52;58;-12,17;9,26;-25,92;0,239;27;1,54;13,53;3,87;18,67;18,36;34,77;29;100,34;169,66;-32,80;1,26;-23,25;1,71;80;19,91;10,92;;;;;;;49;6,80;;0,70;0,70
A0JLZL;Kuehne + Nagel International AG;CH0025238863;Integrierte Fracht & Logistik;Industrie;56;73;-1,74;21,39;-10,96;0,247;24;0,99;10,71;3,08;20,57;22,83;4,07;8;24,22;87,16;-34,50;0,27;-45,67;-9,91;83;70,42;8,86;;;;;;;77;7,31;;3,90;3,50
555750;Deutsche Telekom AG;DE0005557508;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;35;76;-9,37;5,38;-12,80;0,158;69;0,87;19,70;1,54;11,12;10,96;28,01;45;47,93;295,10;-1,88;2,67;12,89;1,43;10;36,22;15,53;16,26;0,86;0,65;304,27;49,48;293,29;50;3,52;73,56;3,90;4,40
157484;Comcast Corp. Class A;US20030N1019;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;47;99;15,80;41,37;-9,20;0,233;69;1,56;21,41;0,96;11,36;10,21;15,41;49;27,20;48,60;-1,00;2,41;211,83;11,30;9;7,41;12,38;31,46;0,78;0,62;117,13;36,85;338,30;52;8,69;89,26;2,70;2,90
A1T7LU;T-Mobile US Inc.;US8725901040;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;24;78;-5,27;1,26;-10,49;0,209;46;2,19;neg.;0,24;19,26;13,81;26,32;79;81,03;111,46;-1,47;3,48;247,33;39,50;7;9,05;14,29;32,96;0,77;0,57;154,84;51,04;193,52;25;6,80;16.200,00;0,40;1,40
868402;Verizon Communications Inc.;US92343V1044;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;30;49;-14,42;-10,18;-25,43;0,220;59;0,98;28,38;6,05;6,81;6,86;21,44;9;2,02;24,26;-2,44;1,55;-7,66;-0,74;17;23,22;24,06;24,01;0,75;0,54;193,46;46,44;882,48;94;8,05;51,09;8,30;8,40
A0HL9Z;AT & T Inc.;US00206R1023;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;15;44;-11,43;-9,20;-27,89;0,273;60;0,88;20,72;9,24;6,41;6,23;14,43;17;-28,71;-14,87;0,82;1,22;114,70;2,93;2;-8,18;1,88;24,20;0,59;0,27;158,65;38,40;49,35;78;7,58;76,19;7,20;7,20
A0HN5C;Deutsche Wohnen SE;DE000A0HN5C6;Immobilien-Dienstleistungen;Immobilien;8;52;-3,94;-3,51;-18,80;0,339;14;7,91;44,77;1,92;neg.;neg.;17,83;2;-24,72;-183,49;0,04;2,83;-494,49;-146,00;61;-16,55;771,77;51,69;2,77;1,31;55,65;28,77;-368,81;24;0,19;1,63;0,00;0,00
922134;CoStar Group Inc.;US22160N1090;Immobilien-Dienstleistungen;Immobilien;48;66;4,58;2,34;-20,44;0,284;9;13,51;75,21;2,99;59,03;50,63;33,48;91;106,42;88,37;12,73;15,94;33,89;16,46;86;5,92;15,68;81,76;13,92;13,75;16,09;13,16;13.902,37;0;0,00;-;0,00;0,00
A1JLYH;CBRE Group Inc.;US12504L1098;Immobilien-Dienstleistungen;Immobilien;43;50;-4,63;-2,21;-24,34;0,297;72;0,72;17,11;1,68;17,19;13,46;33,84;59;47,38;26,38;2,02;8,37;-9,27;27,75;45;10,42;3,00;38,28;1,03;0,92;44,47;17,02;3.111,05;19;4,54;-;0,00;0,00
A14RZD;Cellnex Telecom S.A.;ES0105066007;Immobilien-Dienstleistungen;Immobilien;2;30;-28,18;-16,41;-29,89;0,263;16;6,42;1.415,17;-;neg.;neg.;63,40;27;373,23;-863,75;26,40;5,25;-179,27;-145,51;2;-2,33;4,88;32,13;0,99;0,84;147,45;47,38;21,71;28;0,05;52,55;0,20;0,30
A3H3LL;Vantage Towers;DE000A3H3LL2;Immobilien-Dienstleistungen;Immobilien;27;100;9,90;29,12;-0,45;0,182;10;16,31;54,71;1,73;44,99;36,11;-10,46;61;143,49;73,83;7,03;2,45;32,48;-3,74;23;8,68;49,37;50,23;0,19;0,17;75,99;38,17;612,34;38;0,11;4,28;1,87;2,20
ENAG99;E.ON SE;DE000ENAG999;Versorgungsunternehmen - Diverzifierte;Versorger;57;86;-9,12;28,43;-12,38;0,176;73;0,25;10,59;1,83;9,93;10,93;15,94;27;272,26;-26,31;-5,39;-8,62;56,86;-9,20;25;4,17;2,34;11,07;1,39;1,17;351,97;32,41;290,37;61;4,70;72,86;4,90;5,10
A0M46B;Iberdrola S.A.;ES0144580Y14;Versorgungsunternehmen - Diverzifierte;Versorger;19;67;-13,04;1,08;-15,53;0,181;34;1,23;30,37;3,23;14,21;13,53;20,88;21;57,85;63,31;2,63;0,09;-92,94;5,02;12;10,06;16,18;26,59;0,81;0,55;122,61;32,60;470,34;69;7,35;79,29;5,00;5,20
928624;ENEL S.p.A.;IT0003128367;Versorgungsunternehmen - Diverzifierte;Versorger;24;83;-8,26;25,68;-11,39;0,204;57;0,48;66,70;3,84;9,26;8,64;35,86;33;44,05;29,81;-22,67;0,03;306,75;7,12;4;7,32;9,68;13,05;0,95;0,58;306,75;40,03;432,61;58;6,89;266,67;7,60;7,70
915266;Sempra Energy;US8168511090;Versorgungsunternehmen - Diverzifierte;Versorger;24;64;-12,02;-2,39;-17,46;0,201;15;2,62;neg.;2,69;15,46;14,53;18,65;74;66,09;160,67;16,21;2,17;35,23;6,43;14;9,43;19,97;34,53;0,60;0,39;106,57;36,80;227,42;64;3,54;69,18;3,40;3,60
A0ER6Q;Engie S.A.;FR0010208488;Versorgungsunternehmen - Diverzifierte;Versorger;52;88;-5,42;11,38;-5,78;0,201;69;0,35;15,00;3,36;6,81;8,20;25,93;61;72,81;483,13;4,88;-9,38;2.597,00;-16,95;11;-15,38;-5,97;14,54;1,11;0,66;118,51;17,24;-5,68;66;10,28;1.750,00;9,60;8,00
