WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum & Vola;Kursperform 6 M;Kursperform 1 J;Delta 52 Wochen Hoch;Vola 1 J;Bewertung;KUV;Free Cash Flow;PEG Ratio;KGV (2023);KGV (2024);Kursziel;Wachstum;Umsatzwachstum ueber 5 J;EPS-Wachstum ueber 5 J;Umsatzwachstum (2023);Umsatzwachstum (2024);Wachstum des verwaesserten Gewinns je Aktie (2023);Wachstum des verwaesserten Gewinns je Aktie (2024);Qualitaet und Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet dritten Grades;Liquiditaet zweiten Grades;Verhaeltnis aus Schulden zum EK;Verhaeltnis aus Schulden und  Vermoegenswerten;Zinsdeckungsgrad;Dividende & Aktienrueckkaeufe;Gesamtrendite;Payout Ratio;Dividende (2023);Dividende (2024
A0ER6Q;Engie S.A.;FR0010208488;Versorgungsunternehmen - Diverzifierte;Versorger;52;83;-3,36;13,28;-4,70;0,201;70;0,35;15,00;3,36;6,80;8,19;24,50;59;72,81;483,13;4,88;-9,38;2.597,00;-16,95;11;-15,38;-5,97;14,54;1,11;0,66;118,51;17,24;-5,68;66;10,28;1.750,00;9,60;8,10
A0M46B;Iberdrola S.A.;ES0144580Y14;Versorgungsunternehmen - Diverzifierte;Versorger;19;63;-11,95;1,17;-15,12;0,181;36;1,23;30,37;3,23;14,18;13,50;20,30;21;57,85;63,31;2,63;0,09;-92,94;5,02;12;10,06;16,18;26,59;0,81;0,55;122,61;32,60;470,34;69;7,35;79,29;5,00;5,30
928624;ENEL S.p.A.;IT0003128367;Versorgungsunternehmen - Diverzifierte;Versorger;24;81;-5,71;27,30;-10,45;0,204;57;0,48;66,70;3,84;9,33;8,71;34,43;33;44,05;29,81;-22,67;0,03;306,75;7,12;4;7,32;9,68;13,05;0,95;0,58;306,75;40,03;432,61;60;6,89;266,67;7,50;7,60
915266;Sempra Energy;US8168511090;Versorgungsunternehmen - Diverzifierte;Versorger;24;59;-10,26;-2,02;-16,29;0,203;16;2,64;neg.;2,69;15,66;14,71;17,00;74;66,11;160,65;16,22;2,16;35,22;6,44;14;9,43;19,97;34,53;0,60;0,39;106,57;36,80;227,42;66;3,54;69,18;3,40;3,60
ENAG99;E.ON SE;DE000ENAG999;Versorgungsunternehmen - Diverzifierte;Versorger;56;86;-8,44;32,02;-11,69;0,177;75;0,25;10,62;1,83;9,94;10,95;15,04;29;272,26;-26,31;-5,39;-8,62;56,86;-9,20;25;4,17;2,34;11,07;1,39;1,17;351,97;32,41;290,37;61;4,70;72,86;4,90;5,10
863195;EssilorLuxottica S.A.;FR0000121667;Medizinische Geräte und Materialien;Gesundheitswesen;60;72;-9,84;0,58;-13,24;0,214;33;2,92;25,86;3,03;24,15;21,84;18,43;74;135,34;62,88;4,10;5,43;39,14;10,59;55;6,19;12,94;61,85;1,10;0,59;32,58;20,15;2.043,59;46;2,04;66,87;2,10;2,30
888024;Intuitive Surgical Inc.;US46120E6023;Medizinische Geräte und Materialien;Gesundheitswesen;60;59;-7,36;30,49;-23,05;0,310;10;14,77;102,00;3,34;49,39;42,36;28,20;91;91,55;68,70;14,65;14,64;49,95;16,60;97;11,92;24,34;85,11;4,40;3,65;0,73;0,64;-;11;2,29;-;0,00;0,00
857675;Becton Dickinson & Co.;US0758871091;Medizinische Geräte und Materialien;Gesundheitswesen;47;86;-0,96;15,05;-9,72;0,194;41;3,91;53,98;1,40;21,22;19,20;15,77;70;20,77;1.872,02;2,29;5,41;106,18;10,47;34;6,15;11,78;47,76;1,04;0,41;63,54;30,35;547,99;40;1,41;48,47;1,60;1,70
A2PDXE;ALCON N;CH0432492467;Medizinische Geräte und Materialien;Gesundheitswesen;47;83;7,50;13,19;-11,55;0,228;22;4,23;89,45;2,25;26,95;23,45;26,20;65;-;-;6,20;6,36;13,51;14,96;77;-;7,83;67,37;1,87;1,07;25,76;17,35;445,52;18;0,30;-;0,30;0,40
864330;West Pharmaceutic.Services Inc;US9553061055;Medizinische Geräte und Materialien;Gesundheitswesen;69;83;3,77;53,94;-9,79;0,360;6;10,17;63,83;6,20;47,80;42,48;7,62;74;74,02;180,25;3,52;9,62;-0,29;12,52;94;20,06;21,51;74,23;3,70;2,70;11,84;8,79;8.706,33;31;1,19;9,44;0,20;0,20
A11873;Industria de Diseño Textil SA;ES0148396007;Einzelhandel der Bekleidung;Zyklische Konsumgüter;95;99;9,38;45,56;-6,03;0,201;25;3,18;16,54;1,82;23,21;20,39;12,12;86;38,41;52,06;17,51;11,11;27,35;26,73;92;31,73;18,68;56,73;1,80;1,34;32,90;18,66;3.820,83;43;2,17;-;-;4,40
854854;TJX Companies Inc.;US8725401090;Einzelhandel der Bekleidung;Zyklische Konsumgüter;47;100;14,39;36,84;-3,55;0,179;17;2,04;43,52;1,83;28,62;24,34;10,37;63;37,83;50,42;2,85;7,57;10,00;23,85;41;66,32;10,38;22,45;1,21;0,60;200,25;44,95;5.619,05;43;3,02;39,73;1,44;1,40
A0MXBY;Lululemon Athletica Inc.;US5500211090;Einzelhandel der Bekleidung;Zyklische Konsumgüter;61;86;7,67;36,63;-3,39;0,370;9;5,96;160,28;1,60;33,76;33,34;8,38;95;191,72;235,13;29,63;18,27;-10,81;81,57;76;31,52;22,12;56,16;2,12;0,86;33,99;19,09;-;10;0,85;-;-;0,00
870053;Ross Stores Inc.;US7782961038;Einzelhandel der Bekleidung;Zyklische Konsumgüter;56;98;10,57;40,14;-4,45;0,244;19;2,09;43,43;1,73;28,62;22,42;11,08;42;33,57;21,63;-1,17;7,05;-10,06;18,86;70;37,44;11,42;31,97;1,90;1,29;133,06;42,53;2.567,46;55;3,74;7,65;1,05;1,20
779551;NEXT PLC;GB0032089863;Einzelhandel der Bekleidung;Zyklische Konsumgüter;70;96;5,88;39,66;-5,26;0,239;33;1,74;12,84;3,20;11,80;13,05;7,58;40;27,76;23,07;8,82;5,76;8,87;-5,20;69;68,96;18,69;29,13;2,04;1,36;165,13;48,10;1.215,92;66;5,21;36,11;2,92;2,90
A2ANV3;ING Groep N.V.;NL0011821202;Banken - diversifiziert;Finanzdienstleistungen;95;88;10,43;24,19;-23,90;0,267;88;2,18;13,68;0,41;6,30;6,35;34,17;54;23,77;65,22;20,51;0,38;91,81;-0,80;21;11,36;-;5,16;-;-;239,44;12,35;-;95;9,39;55,35;8,20;8,20
850628;JPMorgan Chase & Co.;US46625H1005;Banken - diversifiziert;Finanzdienstleistungen;69;92;3,62;25,23;-8,45;0,219;48;3,05;4,99;3,00;8,74;9,47;17,77;57;47,20;84,33;24,48;-0,50;37,72;-7,82;39;17,11;-;7,97;-;-;116,27;9,27;-;61;3,99;33,09;2,80;3,00
858388;Bank of America Corp.;US0605051046;Banken - diversifiziert;Finanzdienstleistungen;24;40;-8,66;-19,49;-29,25;0,257;33;2,24;neg.;7,50;7,93;8,34;24,19;17;11,01;28,59;6,42;-0,35;5,76;-3,59;36;11,41;-;8,95;-;-;110,88;9,93;-;71;5,23;26,96;3,40;3,70
923893;HSBC Holdings PLC;GB0005405286;Banken - diversifiziert;Finanzdienstleistungen;86;99;14,83;42,47;-5,27;0,265;92;1,97;4,26;0,72;6,14;6,12;27,90;27;3,49;102,25;-1,73;-0,71;69,89;0,38;34;12,79;-;6,32;-;-;108,94;6,88;-;58;5,47;170,00;8,10;10,10
857949;Wells Fargo & Co.;US9497461015;Banken - diversifiziert;Finanzdienstleistungen;65;61;-0,34;-4,79;-14,97;0,278;77;1,97;12,06;0,61;8,27;8,49;21,24;25;-4,96;16,44;11,29;-2,05;58,32;-2,41;34;9,47;-;9,56;-;-;108,62;10,39;-;77;8,43;36,62;3,10;3,50
851223;Kering S.A.;FR0000121485;Luxuswaren;Zyklische Konsumgüter;43;24;-27,00;-11,22;-31,23;0,270;44;2,58;32,69;1,70;14,49;13,36;29,95;38;47,28;-4,39;-1,10;6,82;-3,90;8,41;63;24,32;24,89;41,24;1,37;0,65;79,95;32,97;2.937,02;67;3,90;42,34;3,40;3,70
853292;LVMH S.A.;FR0000121014;Luxuswaren;Zyklische Konsumgüter;43;37;-22,25;3,92;-25,38;0,243;17;4,24;36,85;2,31;21,12;19,73;29,35;77;84,59;153,57;9,16;7,51;14,27;7,18;70;29,56;27,71;40,93;1,26;0,51;63,77;26,10;5.365,44;48;2,26;42,81;2,10;2,20
886670;Hermes International S.C.A.;FR0000052292;Luxuswaren;Zyklische Konsumgüter;77;59;-13,82;27,08;-17,67;0,261;7;14,14;38,72;4,43;43,37;39,06;18,42;90;125,07;187,65;15,75;11,61;20,42;11,02;97;33,62;42,38;71,26;3,94;3,29;15,55;11,08;10.879,07;33;0,75;40,51;0,90;1,00
883123;Christian Dior SE;FR0000130403;Luxuswaren;Zyklische Konsumgüter;-;35;-22,24;3,03;-25,80;0,251;17;1,48;14,75;2,18;-;-;-34,33;-;-;-;-;-;-;-;53;35,62;27,70;14,43;1,27;0,52;184,69;26,65;5.347,00;61;1,72;42,11;-;-
A1W5CV;Cie Financière Richemont AG;CH0210483332;Luxuswaren;Zyklische Konsumgüter;51;29;-24,52;13,37;-32,09;0,313;44;3,35;18,10;0,68;31,22;15,66;43,53;72;51,34;45,12;19,14;6,11;-84,96;1.201,83;70;1,61;25,29;46,37;2,47;1,61;82,88;38,43;1.752,08;36;2,23;-;-;3,10
A0ET4X;KONE Oyj;FI0009013403;Spezielle Industriemaschinen;Industrie;30;37;-24,43;-6,45;-26,84;0,236;19;1,82;28,82;2,01;21,35;19,50;16,18;29;21,97;14,95;1,44;1,44;24,92;9,46;72;39,40;10,70;31,20;1,17;0,97;18,78;5,86;6.221,43;41;4,62;117,45;4,50;4,70
A3CSML;General Electric Co.;US3696043013;Spezielle Industriemaschinen;Industrie;32;91;7,83;52,52;-8,81;0,310;22;1,48;33,57;1,52;45,64;24,54;21,26;45;-35,75;-88,75;-18,58;10,60;3.828,20;86,01;39;28,59;15,85;19,37;1,16;0,81;95,54;18,50;187,87;32;1,38;6,91;0,40;0,40
723610;Siemens AG;DE0007236101;Spezielle Industriemaschinen;Industrie;51;56;-10,51;15,66;-22,16;0,237;62;1,37;18,06;1,02;13,38;12,64;36,03;42;-6,72;36,20;7,62;3,82;108,55;5,78;45;19,61;17,41;32,27;1,38;0,97;103,56;33,42;1.138,32;52;4,94;92,59;3,50;3,70
860180;Schneider Electric SE;FR0000121972;Spezielle Industriemaschinen;Industrie;39;72;-3,14;11,62;-12,69;0,228;21;2,49;27,48;2,14;18,70;17,22;18,64;61;40,17;85,36;5,49;4,52;25,26;8,48;42;15,57;16,07;43,58;0,91;0,56;41,13;17,93;2.447,26;50;2,01;51,22;2,40;2,70
A1J88N;Eaton Corporation PLC;IE00B8KQN827;Spezielle Industriemaschinen;Industrie;47;92;24,21;45,62;-15,82;0,267;10;3,84;46,46;2,17;23,03;20,76;16,97;65;6,88;78,26;11,29;6,66;42,43;10,95;63;15,79;15,44;48,66;1,38;0,73;53,49;26,03;2.121,53;41;1,71;53,58;1,70;1,80
A2ANT0;Ahold Delhaize N.V., Konkinkl.;NL0011794037;Lebensmittelgeschäfte;Defensive Konsumgüter;43;61;-12,16;-2,45;-15,43;0,183;76;0,31;4,30;4,21;10,98;10,34;20,03;33;41,38;64,70;2,06;2,01;-2,85;6,22;10;16,05;4,19;31,73;0,72;0,38;114,51;36,33;617,87;81;7,59;41,34;3,90;4,30
851544;Kroger Co., The;US5010441013;Lebensmittelgeschäfte;Defensive Konsumgüter;33;72;-7,47;3,00;-12,26;0,205;69;0,22;35,55;1,60;14,03;9,81;15,14;57;23,27;18,70;7,52;1,31;41,01;45,50;5;16,09;1,81;20,24;0,74;0,25;203,27;41,13;642,43;55;2,43;30,39;-;2,40
853286;Loblaw Companies Ltd.;CA5394811015;Lebensmittelgeschäfte;Defensive Konsumgüter;43;72;-7,14;-6,59;-10,86;0,178;54;0,65;17,50;2,61;14,85;13,52;25,19;61;27,13;280,00;5,05;3,23;30,58;9,89;24;18,25;6,16;29,62;1,32;0,70;155,82;46,15;473,98;53;5,40;28,17;1,50;1,70
A2QQMK;Tesco PLC;GB00BLGZ9862;Lebensmittelgeschäfte;Defensive Konsumgüter;26;88;-0,63;24,60;-4,27;0,208;54;0,30;11,94;3,35;20,60;11,80;15,94;43;7,23;41,65;7,20;4,22;-47,91;134,42;6;11,12;3,82;26,53;0,72;0,55;123,18;32,68;254,56;48;8,74;109,44;4,53;4,10
852885;Weston Ltd., George;CA9611485090;Lebensmittelgeschäfte;Defensive Konsumgüter;48;55;-14,29;-8,11;-19,05;0,179;68;0,36;14,10;5,28;13,67;11,66;30,78;50;23,39;168,57;5,05;3,37;-12,15;17,30;24;27,44;8,33;13,97;1,36;0,75;301,86;42,18;436,41;66;10,84;21,71;1,90;2,10
853888;L'Oréal S.A.;FR0000120321;Haushalts- und persönliche Produkte;Defensive Konsumgüter;51;72;-9,23;22,03;-12,79;0,220;6;5,22;37,85;4,04;31,91;29,36;9,76;68;53,70;73,94;8,21;6,91;13,67;8,68;81;21,69;19,53;58,02;1,02;0,54;20,79;12,06;9.996,75;41;1,72;56,55;1,70;1,80
852062;The Procter & Gamble Co.;US7427181091;Haushalts- und persönliche Produkte;Defensive Konsumgüter;32;92;-0,54;15,80;-5,27;0,151;10;4,42;27,47;3,38;26,39;23,45;9,56;42;25,40;340,70;2,27;3,50;1,55;5,27;38;31,34;23,30;38,71;0,63;0,38;75,73;29,32;2.527,65;60;4,68;15,48;2,48;2,60
A0JNE2;Unilever PLC;GB00B10RZP78;Haushalts- und persönliche Produkte;Defensive Konsumgüter;19;75;-6,77;0,42;-9,89;0,132;24;1,96;23,66;34,92;17,38;16,26;11,24;14;17,64;-24,67;-0,17;3,11;-12,37;6,93;24;42,06;20,04;24,44;0,75;0,47;149,51;36,54;1.410,14;61;5,07;-;3,80;4,10
850667;Colgate-Palmolive Co.;US1941621039;Haushalts- und persönliche Produkte;Defensive Konsumgüter;19;77;-4,31;1,84;-10,99;0,160;11;3,22;37,45;2,38;23,13;21,32;12,45;47;24,46;14,48;7,68;3,69;48,34;8,48;32;2.878,85;15,88;2,55;1,28;0,57;2.311,97;58,93;1.692,81;30;4,49;109,39;2,70;2,80
A0M1W6;Reckitt Benckiser Group;GB00B24CGK77;Haushalts- und persönliche Produkte;Defensive Konsumgüter;26;77;-4,01;2,73;-9,87;0,161;24;2,77;24,14;4,54;17,76;16,56;16,93;23;17,93;9,93;2,78;3,35;3,25;7,26;29;24,57;21,89;32,85;0,63;0,36;94,08;30,91;1.416,31;61;3,23;56,45;3,20;3,40
853373;Pernod-Ricard S.A.;FR0000120693;Getränke - Weinkellereien und Brennereien;Defensive Konsumgüter;35;36;-23,24;-6,27;-24,20;0,199;22;3,43;37,04;2,39;18,44;18,20;17,93;49;39,15;52,89;13,42;2,50;18,39;1,31;55;14,91;29,48;44,27;1,95;0,65;70,07;31,02;1.189,92;64;4,71;53,58;2,80;2,80
851247;Diageo PLC;GB0002374006;Getränke - Weinkellereien und Brennereien;Defensive Konsumgüter;26;47;-12,96;-12,71;-19,96;0,185;22;4,03;45,28;1,90;21,62;19,26;14,02;35;34,02;28,41;10,75;0,76;17,68;1,77;38;47,81;32,31;21,96;1,63;0,51;216,70;47,58;696,47;60;4,62;48,66;2,30;2,60
871918;Constellation Brands Inc.;US21036P1084;Getränke - Weinkellereien und Brennereien;Defensive Konsumgüter;30;81;2,86;4,56;-14,70;0,218;11;4,59;31,92;2,16;366,72;19,62;25,52;59;24,24;-34,77;7,16;6,67;-;10.715,92;31;16,15;24,42;34,12;1,18;0,41;154,04;52,55;196,21;53;6,17;29,42;1,43;1,50
856693;Brown-Forman Corp. Class B;US1156372096;Getränke - Weinkellereien und Brennereien;Defensive Konsumgüter;33;43;-12,94;-13,20;-25,39;0,226;8;6,19;64,97;2,42;43,11;27,40;24,35;55;34,94;17,00;7,50;6,09;-6,32;24,90;76;24,90;25,59;42,02;3,51;1,13;89,14;37,46;1.230,00;38;1,42;49,39;1,26;1,50
A2P8B7;Davide Campari-Milano N.V.;NL0015435975;Getränke - Weinkellereien und Brennereien;Defensive Konsumgüter;40;77;-6,26;22,91;-15,01;0,202;12;4,41;625,48;1,57;29,57;25,25;12,14;81;75,57;43,25;11,40;7,50;24,15;16,98;56;12,77;18,93;44,53;2,00;0,83;67,43;30,03;1.607,94;31;0,77;20,69;0,60;0,70
A2PRDK;Prosus N.V.;NL0013654783;Internet-Inhalte und Information;Kommunikationsdienstleistungen;65;49;-11,60;35,56;-26,96;0,375;24;15,13;7.482,72;-;19,72;15,47;49,73;52;139,04;31,12;10,44;10,09;-40,26;-46,97;91;21,29;174,74;68,52;5,31;5,08;36,49;25,00;1.815,14;39;6,74;-;-;0,30
A14Y6F;Alphabet Inc. (Class A);US02079K3059;Internet-Inhalte und Information;Kommunikationsdienstleistungen;86;96;31,03;38,47;-2,31;0,334;20;6,23;29,51;1,33;24,27;20,51;9,95;89;122,85;157,07;7,80;11,48;23,83;18,36;97;23,33;25,49;70,13;2,38;2,22;11,59;8,13;20.079,83;17;3,64;-;0,00;0,00
A1JWVX;Meta Platforms Inc;US30303M1027;Internet-Inhalte und Information;Kommunikationsdienstleistungen;89;89;48,76;137,91;-4,11;0,519;33;7,10;44,41;0,78;23,33;18,79;16,10;93;137,78;77,57;13,86;12,55;57,40;24,21;94;17,36;23,74;67,69;2,20;2,01;21,15;14,32;119.930,00;15;3,04;-;0,00;0,00
;Twitter Inc.;;Internet-Inhalte und Information;Kommunikationsdienstleistungen;25;63;access denied;access denied;access denied;access denied;7;-;-;-;162,73;63,18;instrument n/a;22;114,87;633,33;11,24;-25,65;-70,00;157,58;88;-1,64;0,25;51,97;-;-;-;-;-;37;-;-;0,00;-
A2QHEA;DoorDash Inc. Reg. Shares Cl.A DL -,00001;US25809K1051;Internet-Inhalte und Information;Kommunikationsdienstleistungen;21;74;35,92;60,70;-17,65;0,454;7;3,83;1.425,23;-;neg.;neg.;29,07;45;2.793,02;-326,98;27,88;16,96;-145,09;-152,98;59;-18,34;-17,35;69,00;1,86;1,54;7,57;5,22;-69.850,00;17;3,50;-;0,00;0,00
924781;SAFRAN;FR0000073272;Raumfahrt- und Verteidigungsindustrie;Industrie;32;98;6,64;29,50;-3,57;0,193;33;2,96;25,15;0,78;28,68;22,39;17,14;74;10,66;74,92;19,17;13,57;-9,50;28,06;23;31,12;20,71;22,23;0,91;0,54;66,75;14,84;-3.020,00;23;2,84;500,00;1,40;1,70
894648;Lockheed Martin Corp.;US5398301094;Raumfahrt- und Verteidigungsindustrie;Industrie;51;66;-9,08;1,39;-12,21;0,195;25;1,69;20,84;2,38;16,39;16,46;8,53;33;24,03;53,12;1,05;2,95;24,95;2,67;64;68,31;13,44;17,52;1,32;1,09;166,51;29,18;1.172,23;74;9,53;52,63;2,70;2,90
850471;Boeing Co.;US0970231058;Raumfahrt- und Verteidigungsindustrie;Industrie;5;58;-10,39;34,18;-23,62;0,310;11;1,51;71,86;13,82;neg.;38,08;34,28;29;-23,41;-124,38;16,28;17,25;-153,03;10,78;5;-;-2,94;-11,58;1,22;0,32;4.084,66;41,78;-98,26;30;0,97;40,25;0,20;0,40
A2PZ0R;RTX Corp;US75513E1010;Raumfahrt- und Verteidigungsindustrie;Industrie;43;31;-27,81;-15,28;-29,23;0,237;29;1,55;32,02;4,30;14,81;13,20;17,77;74;112,08;-23,83;9,72;7,67;42,39;12,19;47;7,78;11,35;45,72;1,09;0,69;46,12;21,09;563,62;67;5,25;62,50;3,10;3,30
938914;Airbus SE;NL0000235190;Raumfahrt- und Verteidigungsindustrie;Industrie;47;84;-0,39;11,33;-11,40;0,207;34;1,63;24,37;1,36;21,83;17,91;23,21;61;0,91;42,99;9,40;12,04;4,33;21,84;45;32,54;8,05;11,17;1,20;0,50;84,81;9,47;1.331,80;41;1,50;33,40;1,70;2,00
591068;Vivendi S.A.;FR0000127771;Unterhaltung;Kommunikationsdienstleistungen;53;64;-13,99;1,68;-18,34;0,190;64;0,87;105,70;1,13;13,05;10,84;44,22;52;-29,72;547,93;2,04;11,39;-33,88;20,38;30;-7,26;-7,89;55,52;1,11;0,83;23,80;13,21;-914,81;63;3,01;1,09;3,20;3,60
855686;The Walt Disney Co.;US2546871060;Unterhaltung;Kommunikationsdienstleistungen;21;31;-13,65;-14,46;-28,35;0,322;41;1,78;191,72;0,97;22,90;17,89;23,53;68;49,91;-55,98;7,71;5,12;113,76;28,01;32;2,37;6,88;46,66;1,00;0,83;54,32;25,34;441,19;24;0,00;26,51;0,00;0,40
552484;Netflix Inc.;US64110L1061;Unterhaltung;Kommunikationsdienstleistungen;32;58;6,41;27,10;-28,62;0,396;20;5,00;103,97;1,45;29,22;22,97;29,38;91;113,39;326,21;6,61;13,03;17,31;27,18;51;20,26;17,26;42,76;1,17;0,96;69,08;29,54;845,38;4;0,58;-;0,00;0,00
A3C291;UNIVERSAL MUSIC GROUP EO1;NL0015000IY2;Unterhaltung;Kommunikationsdienstleistungen;30;98;18,60;25,48;-4,12;0,236;12;4,19;28,93;2,62;23,44;20,49;8,38;83;81,27;72,60;5,59;8,49;96,68;14,34;25;48,96;15,42;20,20;0,55;0,32;113,70;22,97;1.423,53;25;2,06;118,60;2,50;2,80
A3DJQZ;Warner Bros Discovery;US9344231041;Unterhaltung;Kommunikationsdienstleistungen;1;13;-23,50;-16,10;-35,25;0,537;48;0,63;22,52;1,17;neg.;222,83;72,70;23;298,38;-193,64;24,32;2,65;-121,08;-94,10;3;-13,98;-13,97;35,15;0,93;0,76;104,04;36,57;-404,22;0;0,00;-;0,00;0,00
